"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 18:41:17 GMT 2024","Thu Feb 22 18:41:18 GMT 2024","1061","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Thu Feb 22 18:41:15 GMT 2024","Thu Feb 22 18:41:15 GMT 2024","25","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
